,0
0,0.017749963
1,0.019594809
2,0.015506289
3,0.017106546
4,0.028722951
5,0.015190374
6,0.024147216
7,0.026489023
8,0.01483967
9,0.051136814
10,0.011012136
11,0.011126384
12,0.015238695
13,0.01374619
14,0.014608788
15,0.0107257655
16,0.01811599
17,0.039246865
18,0.011126384
19,0.022422614
20,0.030850247
21,0.013923764
22,0.05475854
23,0.018828591
24,0.051521752
25,0.031376313
26,0.013660914
27,0.019331694
28,0.03634247
29,0.022614356
30,0.012812483
31,0.004888834
32,0.017454693
33,0.02357962
34,0.009832958
35,0.011126384
36,0.015106392
37,0.014484186
38,0.0041475813
39,0.031101707
40,0.021691026
41,0.0130000785
42,0.01915353
43,0.022508156
44,0.008901687
45,0.005830507
46,0.017910533
47,0.033309866
48,0.08277841
49,0.034765754
50,0.014654587
51,0.02080954
52,0.011126384
53,0.0064998274
54,0.020879034
55,0.014095423
56,0.027600624
57,0.027946936
58,0.011126384
59,0.017155495
60,0.026273295
61,0.023321489
62,0.0075273686
63,0.011101663
64,0.018792039
65,0.026357088
66,0.0050798478
67,0.016190099
68,0.01880064
69,0.007150805
70,0.008881405
71,0.021289613
72,0.038167767
73,0.009847846
74,0.014292932
75,0.02395163
76,0.00821023
77,0.028405385
78,0.016044196
79,0.013149088
80,0.01248054
81,0.023112008
82,0.017157026
83,0.012305573
84,0.052052513
85,0.011856261
86,0.006200441
87,0.016846562
88,0.0060715154
89,0.018849803
90,0.011126384
91,0.01978796
92,0.018217068
93,0.01219069
94,0.027108926
95,0.016644781
96,0.009863184
97,0.003934187
98,0.0058154794
99,0.047380626
100,0.011126384
101,0.009409699
102,0.021642517
103,0.011564576
104,0.013954091
105,0.010257874
106,0.012945488
107,0.029999673
108,0.008704526
109,0.059485137
110,0.014496001
111,0.014811808
112,0.025677918
113,0.014910436
114,0.027074097
115,0.02640059
116,0.011785407
117,0.017883874
118,0.014301066
119,0.038871635
120,0.0059867105
121,0.018083375
122,0.013238803
123,0.004252879
124,0.0063717826
125,0.01672549
126,0.012150949
127,0.020555101
128,0.018799582
129,0.01097843
130,0.011578058
131,0.009198435
132,0.012523019
133,0.004934486
134,0.02373809
135,0.0067048552
136,0.017856305
137,0.034715008
138,0.031807624
139,0.011126384
140,0.018757418
141,0.036417853
142,0.009252154
143,0.019824948
144,0.020300955
145,0.03696719
146,0.023747267
147,0.008142978
148,0.02880118
149,0.009718534
150,0.0144942785
151,0.014164121
152,0.019780194
153,0.013887264
154,0.077339485
155,0.016660195
156,0.016608322
157,0.010267093
158,0.0138819385
159,0.021659903
160,0.012862236
161,0.020891465
162,0.030396232
163,0.014692705
164,0.02409759
165,0.042608697
166,0.019414635
167,0.013432114
168,0.03362616
169,0.011575437
170,0.033838272
171,0.0152177885
172,0.0083516
173,0.0149746835
174,0.024576725
175,0.018183416
176,0.01716893
177,0.05271842
178,0.025152557
179,0.02008835
180,0.011126384
181,0.019949384
182,0.033491857
183,0.019869404
184,0.0175204
185,0.05429107
186,0.006227239
187,0.03391805
188,0.019703487
189,0.035611466
190,0.02344731
191,0.026774142
192,0.026366005
193,0.025065873
194,0.018754419
195,0.025803125
196,0.026154123
197,0.025122212
198,0.018916778
199,0.010364271
200,0.026167406
201,0.02804783
202,0.006718295
203,0.008848303
204,0.016536957
205,0.011126384
206,0.10838153
207,0.03540628
208,0.019084234
209,0.027759187
210,0.0074133626
211,0.012065064
212,0.014714911
213,0.008049779
214,0.020006364
215,0.018065061
216,0.0140556395
217,0.018412564
218,0.011126384
219,0.013078804
220,0.10152815
221,0.019013016
222,0.009707574
223,0.01544292
224,0.011799645
225,0.012045459
226,0.019959694
227,0.012792476
228,0.039701056
229,0.025818773
230,0.0159306
231,0.017283686
232,0.011126384
233,0.007146089
234,0.012757454
235,0.011126384
236,0.0083803395
237,0.016554689
238,0.021220183
239,0.011126384
240,0.016970836
241,0.016493805
242,0.0313853
243,0.029975902
244,0.044422325
245,0.011611928
246,0.027505582
247,0.043323044
248,0.009043432
249,0.028685274
250,0.01807796
251,0.036606614
252,0.037631504
253,0.011126384
254,0.021005599
255,0.021355186
256,0.011126384
257,0.010902862
258,0.027317109
259,0.035575785
260,0.022324262
261,0.022364259
262,0.010650079
263,0.019380623
264,0.011126384
265,0.013968098
266,0.03358291
267,0.016355604
268,0.03582268
269,0.01408155
270,0.025602028
271,0.034327313
272,0.012915531
273,0.023814777
274,0.024258308
275,0.03702484
276,0.013096417
277,0.020889627
278,0.011353632
279,0.013346824
280,0.011905761
281,0.008359924
282,0.025417212
283,0.014002842
284,0.009052845
285,0.026202004
286,0.023503186
287,0.018957116
288,0.008326643
289,0.011126384
290,0.011825716
291,0.050596353
292,0.011126384
293,0.020124676
294,0.013124951
295,0.011126384
296,0.015448348
297,0.081361085
298,0.008526097
299,0.020655856
300,0.06326149
301,0.014298898
302,0.011126384
303,0.0037577944
304,0.04545967
305,0.021093419
306,0.020347668
307,0.011126384
308,0.013759658
309,0.014172311
310,0.010577263
311,0.0218667
312,0.010039089
313,0.031820126
314,0.02511314
315,0.021044524
316,0.02481568
317,0.024528127
318,0.008034234
319,0.02382703
320,0.023201069
321,0.016942117
322,0.010015215
323,0.030063685
324,0.030738197
325,0.007933379
326,0.018426737
327,0.064708404
328,0.02988407
329,0.016333783
330,0.00983653
